Country,Date,Local_price,Dollar_ex,Dollar_price,Dollar_PPP,Dollar_valuation
Argentina,2016-01-01,33.0,13.80925,2.3897025544472000,6.69371196754564,-51.52733155279510
Australia,2016-01-01,5.3,1.415728746372200,3.743655,1.0750507099391500,-24.063793103448300
Austria,2016-01-01,3.5,0.9302325581395350,3.7625,0.7099391480730220,-23.68154158215010
Belgium,2016-01-01,3.95,0.9302325581395350,4.24625,0.8012170385395540,-13.869168356998000
Brazil,2016-01-01,13.5,4.0248,3.3542039355992800,2.7383367139959400,-31.963409014213300
Britain,2016-01-01,2.89,0.6845329773761850,4.2218565,0.5862068965517240,-14.363965517241400
Canada,2016-01-01,5.84,1.4092,4.144195288106730,1.184584178498990,-15.939243648950800
Chile,2016-01-01,2100.0,715.215,2.9361800297812500,425.9634888438130,-40.442595744802100
China,2016-01-01,17.6,6.5582,2.6836632002683700,3.569979716024340,-45.564640968187300
Colombia,2016-01-01,7900.0,3253.9,2.427855803804670,1602.4340770791100,-50.75343197150780
Costa Rica,2016-01-01,2150.0,535.25,4.016814572629610,436.10547667342800,-18.523030981143800
Czech Republic,2016-01-01,75.0,25.1442,2.9827952370725700,15.212981744421900,-39.497054014755300
Denmark,2016-01-01,30.0,6.9405,4.322455154527770,6.085192697768760,-12.32342485744890
Egypt,2016-01-01,16.93,7.83005,2.162182872395450,3.4340770791075100,-56.142335245528400
Estonia,2016-01-01,3.0,0.9302325581395350,3.225,0.6085192697768760,-34.58417849898580
Euro area,2016-01-01,3.72,0.9302325581395350,3.999,0.7545638945233270,-18.884381338742400
Finland,2016-01-01,4.1,0.9302325581395350,4.4075,0.8316430020283980,-10.598377281947300
France,2016-01-01,4.1,0.9302325581395350,4.4075,0.8316430020283980,-10.598377281947300
Germany,2016-01-01,3.59,0.9302325581395350,3.85925,0.7281947261663290,-21.71906693711970
Greece,2016-01-01,3.35,0.9302325581395350,3.6012500000000000,0.6795131845841790,-26.952332657200800
Hong Kong,2016-01-01,19.2,7.75235,2.4766683650764000,3.894523326572010,-49.76331916680740
Hungary,2016-01-01,900.0,292.67905,3.075040731477020,182.5557809330630,-37.625948651581700
India,2016-01-01,127.0,66.8025,1.901126454848250,25.760649087221100,-61.43759726474140
Indonesia,2016-01-01,30500.0,13947.5,2.186771822907330,6186.612576064910,-55.643573571859400
Ireland,2016-01-01,3.95,0.9302325581395350,4.24625,0.8012170385395540,-13.869168356998000
Israel,2016-01-01,16.9,3.94105,4.288197307824060,3.4279918864097400,-13.018310186124600
Italy,2016-01-01,4.0,0.9302325581395350,4.3,0.8113590263691690,-12.778904665314400
Japan,2016-01-01,370.0,118.645,3.1185469257027300,75.05070993914810,-36.74347006688180
Latvia,2013-07-01,1.69,0.54635,3.093255239315460,0.37088514996342400,-32.11583234860010
Lithuania,2014-07-01,8.95,2.56455,3.4898910140180500,1.8665276329509900,-27.21812275249110
Malaysia,2016-01-01,8.0,4.3925,1.8212862834376800,1.622718052738340,-63.05707335826210
Mexico,2016-01-01,49.0,17.43675,2.8101567092491400,9.939148073022310,-42.998849710970700
Netherlands,2016-01-01,3.45,0.9302325581395350,3.70875,0.6997971602434080,-24.77180527383370
New Zealand,2016-01-01,5.9,1.5080681646810400,3.9122900000000000,1.1967545638945200,-20.643204868154100
Norway,2016-01-01,46.8,8.97465,5.214688037973630,9.49290060851927,5.774605232730750
Pakistan,2016-01-01,300.0,104.885,2.860275539877010,60.85192697768760,-41.98224057044610
Peru,2016-01-01,10.0,3.418,2.925687536571090,2.028397565922920,-40.65542522168170
Philippines,2016-01-01,131.0,47.0225,2.785900366845660,26.572008113590300,-43.49086476986490
Poland,2016-01-01,9.6,4.0477,2.371717271536920,1.947261663286000,-51.89214459357160
Portugal,2016-01-01,3.0,0.9302325581395350,3.225,0.6085192697768760,-34.58417849898580
Russia,2016-01-01,114.0,74.655,1.5270243118344400,23.1237322515213,-69.02587602769900
Saudi Arabia,2016-01-01,12.0,3.7543,3.196334869349810,2.4340770791075100,-35.16562131136280
Singapore,2016-01-01,4.7,1.43725,3.2701339363367500,0.9533468559837730,-33.66868283292590
South Africa,2016-01-01,28.0,15.81375,1.7706110188917900,5.679513184584180,-64.08496919083600
South Korea,2016-01-01,4300.0,1197.75,3.590064704654560,872.2109533468560,-27.179214915729000
Spain,2016-01-01,3.5,0.9302325581395350,3.7625,0.7099391480730220,-23.68154158215010
Sri Lanka,2016-01-01,350.0,144.05,2.4297119055883400,70.99391480730220,-50.71578284810680
Sweden,2016-01-01,45.0,8.60185,5.2314327731825100,9.127789046653150,6.114255034128060
Switzerland,2016-01-01,6.5,1.0088,6.443298969072170,1.3184584178499000,30.695719453796500
Taiwan,2016-01-01,69.0,33.2315,2.076343228563260,13.995943204868200,-57.88350449161740
Thailand,2016-01-01,112.0,36.22,3.0922142462727800,22.718052738336700,-37.277601495481200
Turkey,2016-01-01,10.25,3.0096,3.4057682083997900,2.079107505070990,-30.917480559842000
UAE,2016-01-01,13.0,3.6731,3.5392447796139500,2.636916835699800,-28.21004503825660
Ukraine,2016-01-01,36.0,23.35,1.5417558886509600,7.302231237322520,-68.72706108213060
United States,2016-01-01,4.93,1.0,4.93,1.0,0.0
Uruguay,2016-01-01,113.0,30.185,3.7435812489647200,22.920892494929000,-24.065289067652800
Venezuela,2016-01-01,132.0,198.6986,0.6643227481220300,26.77484787018260,-86.52489354722050
Vietnam,2016-01-01,60000.0,22467.5,2.670524090352730,12170.385395537500,-45.83115435390000